description,amount,transaction_dt_tm,note,budget_item_name,account_name
Eating Out,-15.59,2023-01-07 00:00:00,McBootstrap,Groceries,Checking
Grocery Trip,-277.34,2023-01-14 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-12.53,2023-01-14 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-01-15 00:00:00,Direct deposit from work,Income,Checking
Garbage Collection,-65.00,2023-01-15 00:00:00,Bootstrap Waste (billed quarterly),Utilities,Checking
Prescription Refil,-25.00,2023-01-15 00:00:00,BVS,Healthcare,Checking
Roth IRA Contribution,-450.00,2023-01-15 00:00:00,Retirement Fund,Investments,Checking
Oil Change,-30.29,2023-01-15 00:00:00,Bootstrap Repair and Body,Transportation,Checking
Water Bill,-35.74,2023-01-20 00:00:00,Bootstrap Waterworks,Utilities,Checking
TV Streaming Service,-19.95,2023-01-20 00:00:00,BootFlix,Entertainment,Checking
Game Purchase,-60.00,2023-01-20 00:00:00,Balve,Entertainment,Checking
Eating Out,-15.82,2023-01-21 00:00:00,McBootstrap,Groceries,Checking
Rent,-800.00,2023-01-25 00:00:00,Bootstrap Estates,Housing,Checking
Gas Bill,-98.29,2023-01-25 00:00:00,Bootstrap Gas,Utilities,Checking
Home Internet,-70.00,2023-01-25 00:00:00,Bootstrap Fiber Net,Utilities,Checking
Gas Fillup,-32.50,2023-01-25 00:00:00,BootTrip,Transportation,Checking
Electrical Bill,-85.34,2023-01-27 00:00:00,Bootstrap Electrical,Utilities,Checking
Cell Phone Bill,-80.00,2023-01-28 00:00:00,Bootstrap Wireless,Utilities,Checking
Grocery Trip,-234.74,2023-01-28 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Paycheck,2000.00,2023-01-31 00:00:00,Direct deposit from work,Income,Checking
Accounts Transfer,-1000.00,2023-02-01 00:00:00,Saving money,Income,Checking
Accounts Transfer,1000.00,2023-02-01 00:00:00,Saving money,Income,Savings
Eating Out,-10.41,2023-02-04 00:00:00,McBootstrap,Groceries,Checking
Grocery Trip,-233.41,2023-02-11 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-20.74,2023-02-11 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-02-15 00:00:00,Direct deposit from work,Income,Checking
Garbage Collection,0.00,2023-02-15 00:00:00,Bootstrap Waste (billed quarterly),Utilities,Checking
Roth IRA Contribution,-450.00,2023-02-15 00:00:00,Retirement Fund,Investments,Checking
Eating Out,-13.74,2023-02-18 00:00:00,McBootstrap,Groceries,Checking
Water Bill,-36.48,2023-02-20 00:00:00,Bootstrap Waterworks,Utilities,Checking
TV Streaming Service,-19.95,2023-02-20 00:00:00,BootFlix,Entertainment,Checking
Movie Night,-25.50,2023-02-20 00:00:00,BMC Theatres,Entertainment,Checking
Rent,-800.00,2023-02-25 00:00:00,Bootstrap Estates,Housing,Checking
Gas Bill,-115.74,2023-02-25 00:00:00,Bootstrap Gas,Utilities,Checking
Home Internet,-70.00,2023-02-25 00:00:00,Bootstrap Fiber Net,Utilities,Checking
Grocery Trip,-212.41,2023-02-25 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-15.74,2023-02-25 00:00:00,McBootstrap,Groceries,Checking
Gas Fillup,-43.60,2023-02-25 00:00:00,BootTrip,Transportation,Checking
Electrical Bill,-90.44,2023-02-27 00:00:00,Bootstrap Electrical,Utilities,Checking
Paycheck,2000.00,2023-02-28 00:00:00,Direct deposit from work,Income,Checking
Cell Phone Bill,-80.00,2023-02-28 00:00:00,Bootstrap Wireless,Utilities,Checking
Accounts Transfer,-1000.00,2023-03-01 00:00:00,Saving money,Income,Checking
Accounts Transfer,1000.00,2023-03-01 00:00:00,Saving money,Income,Savings
Eating Out,-14.21,2023-03-04 00:00:00,McBootstrap,Groceries,Checking
Grocery Trip,-229.46,2023-03-11 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-13.33,2023-03-11 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-03-15 00:00:00,Direct deposit from work,Income,Checking
Garbage Collection,0.00,2023-03-15 00:00:00,Bootstrap Waste (billed quarterly),Utilities,Checking
Roth IRA Contribution,-450.00,2023-03-15 00:00:00,Retirement Fund,Investments,Checking
Eating Out,-19.52,2023-03-18 00:00:00,McBootstrap,Groceries,Checking
Water Bill,-64.77,2023-03-20 00:00:00,Bootstrap Waterworks,Utilities,Checking
TV Streaming Service,-19.95,2023-03-20 00:00:00,BootFlix,Entertainment,Checking
Game Purchase,-25.00,2023-03-20 00:00:00,Balve,Entertainment,Checking
Rent,-800.00,2023-03-25 00:00:00,Bootstrap Estates,Housing,Checking
Gas Bill,-72.49,2023-03-25 00:00:00,Bootstrap Gas,Utilities,Checking
Home Internet,-70.00,2023-03-25 00:00:00,Bootstrap Fiber Net,Utilities,Checking
Grocery Trip,-232.95,2023-03-25 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-15.22,2023-03-25 00:00:00,McBootstrap,Groceries,Checking
Gas Fillup,-39.00,2023-03-25 00:00:00,BootTrip,Transportation,Checking
Electrical Bill,-95.34,2023-03-27 00:00:00,Bootstrap Electrical,Utilities,Checking
Cell Phone Bill,-80.00,2023-03-28 00:00:00,Bootstrap Wireless,Utilities,Checking
Paycheck,2000.00,2023-03-31 00:00:00,Direct deposit from work,Income,Checking
Accounts Transfer,-1000.00,2023-04-01 00:00:00,Saving money,Income,Checking
Accounts Transfer,1000.00,2023-04-01 00:00:00,Saving money,Income,Savings
Eating Out,-16.41,2023-04-01 00:00:00,McBootstrap,Groceries,Checking
Grocery Trip,-223.33,2023-04-08 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-13.74,2023-04-08 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-04-15 00:00:00,Direct deposit from work,Income,Checking
Garbage Collection,-65.00,2023-04-15 00:00:00,Bootstrap Waste (billed quarterly),Utilities,Checking
Eating Out,-15.77,2023-04-15 00:00:00,McBootstrap,Groceries,Checking
Prescription Refil,-25.00,2023-04-15 00:00:00,BVS,Healthcare,Checking
Roth IRA Contribution,-450.00,2023-04-15 00:00:00,Retirement Fund,Investments,Checking
Oil Change,-30.29,2023-04-15 00:00:00,Bootstrap Repair and Body,Transportation,Checking
Water Bill,-75.07,2023-04-20 00:00:00,Bootstrap Waterworks,Utilities,Checking
TV Streaming Service,-19.95,2023-04-20 00:00:00,BootFlix,Entertainment,Checking
Movie Night,-34.20,2023-04-20 00:00:00,BMC Theatres,Entertainment,Checking
Grocery Trip,-212.51,2023-04-22 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-12.45,2023-04-22 00:00:00,McBootstrap,Groceries,Checking
Rent,-800.00,2023-04-25 00:00:00,Bootstrap Estates,Housing,Checking
Gas Bill,-56.75,2023-04-25 00:00:00,Bootstrap Gas,Utilities,Checking
Home Internet,-70.00,2023-04-25 00:00:00,Bootstrap Fiber Net,Utilities,Checking
Gas Fillup,-39.50,2023-04-25 00:00:00,BootTrip,Transportation,Checking
Electrical Bill,-115.54,2023-04-27 00:00:00,Bootstrap Electrical,Utilities,Checking
Cell Phone Bill,-80.00,2023-04-28 00:00:00,Bootstrap Wireless,Utilities,Checking
Eating Out,-9.34,2023-04-29 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-04-30 00:00:00,Direct deposit from work,Income,Checking
Accounts Transfer,-1000.00,2023-05-01 00:00:00,Saving money,Income,Checking
Accounts Transfer,1000.00,2023-05-01 00:00:00,Saving money,Income,Savings
Grocery Trip,-104.87,2023-05-06 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-10.25,2023-05-06 00:00:00,McBootstrap,Groceries,Checking
Eating Out,-15.41,2023-05-13 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-05-15 00:00:00,Direct deposit from work,Income,Checking
Garbage Collection,0.00,2023-05-15 00:00:00,Bootstrap Waste (billed quarterly),Utilities,Checking
Roth IRA Contribution,-450.00,2023-05-15 00:00:00,Retirement Fund,Investments,Checking
Water Bill,-77.64,2023-05-20 00:00:00,Bootstrap Waterworks,Utilities,Checking
Grocery Trip,-168.41,2023-05-20 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-16.88,2023-05-20 00:00:00,McBootstrap,Groceries,Checking
TV Streaming Service,-19.95,2023-05-20 00:00:00,BootFlix,Entertainment,Checking
Game Purchase,-60.00,2023-05-20 00:00:00,Balve,Entertainment,Checking
Rent,-800.00,2023-05-25 00:00:00,Bootstrap Estates,Housing,Checking
Gas Bill,-47.78,2023-05-25 00:00:00,Bootstrap Gas,Utilities,Checking
Home Internet,-70.00,2023-05-25 00:00:00,Bootstrap Fiber Net,Utilities,Checking
Gas Fillup,-21.89,2023-05-25 00:00:00,BootTrip,Transportation,Checking
Electrical Bill,-125.91,2023-05-27 00:00:00,Bootstrap Electrical,Utilities,Checking
Eating Out,-14.21,2023-05-27 00:00:00,McBootstrap,Groceries,Checking
Cell Phone Bill,-80.00,2023-05-28 00:00:00,Bootstrap Wireless,Utilities,Checking
Paycheck,2000.00,2023-05-31 00:00:00,Direct deposit from work,Income,Checking
Accounts Transfer,-1000.00,2023-06-01 00:00:00,Saving money,Income,Checking
Accounts Transfer,1000.00,2023-06-01 00:00:00,Saving money,Income,Savings
Grocery Trip,-232.41,2023-06-03 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-17.52,2023-06-03 00:00:00,McBootstrap,Groceries,Checking
Eating Out,-18.21,2023-06-10 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-06-15 00:00:00,Direct deposit from work,Income,Checking
Garbage Collection,0.00,2023-06-15 00:00:00,Bootstrap Waste (billed quarterly),Utilities,Checking
Roth IRA Contribution,-450.00,2023-06-15 00:00:00,Retirement Fund,Investments,Checking
Grocery Trip,-244.85,2023-06-17 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-15.81,2023-06-17 00:00:00,McBootstrap,Groceries,Checking
Water Bill,-77.64,2023-06-20 00:00:00,Bootstrap Waterworks,Utilities,Checking
TV Streaming Service,-19.95,2023-06-20 00:00:00,BootFlix,Entertainment,Checking
Movie Night,-25.50,2023-06-20 00:00:00,BMC Theatres,Entertainment,Checking
Eating Out,-13.21,2023-06-24 00:00:00,McBootstrap,Groceries,Checking
Rent,-800.00,2023-06-25 00:00:00,Bootstrap Estates,Housing,Checking
Gas Bill,-47.78,2023-06-25 00:00:00,Bootstrap Gas,Utilities,Checking
Home Internet,-70.00,2023-06-25 00:00:00,Bootstrap Fiber Net,Utilities,Checking
Gas Fillup,-37.00,2023-06-25 00:00:00,BootTrip,Transportation,Checking
Electrical Bill,-130.33,2023-06-27 00:00:00,Bootstrap Electrical,Utilities,Checking
Cell Phone Bill,-80.00,2023-06-28 00:00:00,Bootstrap Wireless,Utilities,Checking
Paycheck,2000.00,2023-06-30 00:00:00,Direct deposit from work,Income,Checking
Accounts Transfer,-1000.00,2023-07-01 00:00:00,Saving money,Income,Checking
Accounts Transfer,1000.00,2023-07-01 00:00:00,Saving money,Income,Savings
Grocery Trip,-401.22,2023-07-01 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-8.21,2023-07-01 00:00:00,McBootstrap,Groceries,Checking
Eating Out,-14.64,2023-07-08 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-07-15 00:00:00,Direct deposit from work,Income,Checking
Garbage Collection,-65.00,2023-07-15 00:00:00,Bootstrap Waste (billed quarterly),Utilities,Checking
Grocery Trip,-214.32,2023-07-15 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-10.88,2023-07-15 00:00:00,McBootstrap,Groceries,Checking
Prescription Refil,-25.00,2023-07-15 00:00:00,BVS,Healthcare,Checking
Roth IRA Contribution,-450.00,2023-07-15 00:00:00,Retirement Fund,Investments,Checking
Oil Change and Repair,-1247.25,2023-07-15 00:00:00,Bootstrap Repair and Body,Transportation,Checking
Water Bill,-68.91,2023-07-20 00:00:00,Bootstrap Waterworks,Utilities,Checking
TV Streaming Service,-19.95,2023-07-20 00:00:00,BootFlix,Entertainment,Checking
Game Purchase,-29.95,2023-07-20 00:00:00,Balve,Entertainment,Checking
Eating Out,-12.74,2023-07-22 00:00:00,McBootstrap,Groceries,Checking
Rent,-800.00,2023-07-25 00:00:00,Bootstrap Estates,Housing,Checking
Gas Bill,-51.70,2023-07-25 00:00:00,Bootstrap Gas,Utilities,Checking
Home Internet,-70.00,2023-07-25 00:00:00,Bootstrap Fiber Net,Utilities,Checking
Gas Fillup,-23.93,2023-07-25 00:00:00,BootTrip,Transportation,Checking
Electrical Bill,-138.63,2023-07-27 00:00:00,Bootstrap Electrical,Utilities,Checking
Cell Phone Bill,-80.00,2023-07-28 00:00:00,Bootstrap Wireless,Utilities,Checking
Grocery Trip,-312.77,2023-07-29 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-16.32,2023-07-29 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-07-31 00:00:00,Direct deposit from work,Income,Checking
Accounts Transfer,-1000.00,2023-08-01 00:00:00,Saving money,Income,Checking
Accounts Transfer,1000.00,2023-08-01 00:00:00,Saving money,Income,Savings
Eating Out,-15.41,2023-08-05 00:00:00,McBootstrap,Groceries,Checking
Grocery Trip,-210.55,2023-08-12 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-9.21,2023-08-12 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-08-15 00:00:00,Direct deposit from work,Income,Checking
Garbage Collection,0.00,2023-08-15 00:00:00,Bootstrap Waste (billed quarterly),Utilities,Checking
Clinic Visit,-150.00,2023-08-15 00:00:00,BVS,Healthcare,Checking
Roth IRA Contribution,-450.00,2023-08-15 00:00:00,Retirement Fund,Investments,Checking
Eating Out,-18.41,2023-08-19 00:00:00,McBootstrap,Groceries,Checking
Water Bill,-56.91,2023-08-20 00:00:00,Bootstrap Waterworks,Utilities,Checking
TV Streaming Service,-19.95,2023-08-20 00:00:00,BootFlix,Entertainment,Checking
Movie Night,-25.50,2023-08-20 00:00:00,BMC Theatres,Entertainment,Checking
Rent,-800.00,2023-08-25 00:00:00,Bootstrap Estates,Housing,Checking
Gas Bill,-52.73,2023-08-25 00:00:00,Bootstrap Gas,Utilities,Checking
Home Internet,-70.00,2023-08-25 00:00:00,Bootstrap Fiber Net,Utilities,Checking
Gas Fillup,-53.00,2023-08-25 00:00:00,BootTrip,Transportation,Checking
Grocery Trip,-256.22,2023-08-26 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-13.25,2023-08-26 00:00:00,McBootstrap,Groceries,Checking
Electrical Bill,-134.33,2023-08-27 00:00:00,Bootstrap Electrical,Utilities,Checking
Cell Phone Bill,-80.00,2023-08-28 00:00:00,Bootstrap Wireless,Utilities,Checking
Paycheck,2000.00,2023-08-31 00:00:00,Direct deposit from work,Income,Checking
Accounts Transfer,-1000.00,2023-09-01 00:00:00,Saving money,Income,Checking
Accounts Transfer,1000.00,2023-09-01 00:00:00,Saving money,Income,Savings
Eating Out,-14.74,2023-09-02 00:00:00,McBootstrap,Groceries,Checking
Grocery Trip,-207.33,2023-09-09 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-12.45,2023-09-09 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-09-15 00:00:00,Direct deposit from work,Income,Checking
Garbage Collection,0.00,2023-09-15 00:00:00,Bootstrap Waste (billed quarterly),Utilities,Checking
Roth IRA Contribution,-450.00,2023-09-15 00:00:00,Retirement Fund,Investments,Checking
Eating Out,-18.66,2023-09-16 00:00:00,McBootstrap,Groceries,Checking
Water Bill,-48.65,2023-09-20 00:00:00,Bootstrap Waterworks,Utilities,Checking
TV Streaming Service,-19.95,2023-09-20 00:00:00,BootFlix,Entertainment,Checking
Game Purchase,-65.00,2023-09-20 00:00:00,Balve,Entertainment,Checking
Grocery Trip,-204.85,2023-09-23 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-12.45,2023-09-23 00:00:00,McBootstrap,Groceries,Checking
Rent,-800.00,2023-09-25 00:00:00,Bootstrap Estates,Housing,Checking
Gas Bill,-62.38,2023-09-25 00:00:00,Bootstrap Gas,Utilities,Checking
Home Internet,-70.00,2023-09-25 00:00:00,Bootstrap Fiber Net,Utilities,Checking
Gas Fillup,-46.00,2023-09-25 00:00:00,BootTrip,Transportation,Checking
Electrical Bill,-118.97,2023-09-27 00:00:00,Bootstrap Electrical,Utilities,Checking
Cell Phone Bill,-80.00,2023-09-28 00:00:00,Bootstrap Wireless,Utilities,Checking
Paycheck,2000.00,2023-09-30 00:00:00,Direct deposit from work,Income,Checking
Eating Out,-15.68,2023-09-30 00:00:00,McBootstrap,Groceries,Checking
Accounts Transfer,-1000.00,2023-10-01 00:00:00,Saving money,Income,Checking
Accounts Transfer,1000.00,2023-10-01 00:00:00,Saving money,Income,Savings
Grocery Trip,-201.88,2023-10-07 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-16.41,2023-10-07 00:00:00,McBootstrap,Groceries,Checking
Eating Out,-12.74,2023-10-14 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-10-15 00:00:00,Direct deposit from work,Income,Checking
Garbage Collection,-65.00,2023-10-15 00:00:00,Bootstrap Waste (billed quarterly),Utilities,Checking
Prescription Refil,-25.00,2023-10-15 00:00:00,BVS,Healthcare,Checking
Roth IRA Contribution,-450.00,2023-10-15 00:00:00,Retirement Fund,Investments,Checking
Oil Change,-30.29,2023-10-15 00:00:00,Bootstrap Repair and Body,Transportation,Checking
Water Bill,-38.44,2023-10-20 00:00:00,Bootstrap Waterworks,Utilities,Checking
TV Streaming Service,-19.95,2023-10-20 00:00:00,BootFlix,Entertainment,Checking
Movie Night,-30.40,2023-10-20 00:00:00,BMC Theatres,Entertainment,Checking
Grocery Trip,-231.58,2023-10-21 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-16.25,2023-10-21 00:00:00,McBootstrap,Groceries,Checking
Rent,-800.00,2023-10-25 00:00:00,Bootstrap Estates,Housing,Checking
Gas Bill,-66.32,2023-10-25 00:00:00,Bootstrap Gas,Utilities,Checking
Home Internet,-70.00,2023-10-25 00:00:00,Bootstrap Fiber Net,Utilities,Checking
Gas Fillup,-21.26,2023-10-25 00:00:00,BootTrip,Transportation,Checking
Electrical Bill,-102.55,2023-10-27 00:00:00,Bootstrap Electrical,Utilities,Checking
Cell Phone Bill,-80.00,2023-10-28 00:00:00,Bootstrap Wireless,Utilities,Checking
Eating Out,-15.38,2023-10-28 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-10-31 00:00:00,Direct deposit from work,Income,Checking
Accounts Transfer,-1000.00,2023-11-01 00:00:00,Saving money,Income,Checking
Accounts Transfer,1000.00,2023-11-01 00:00:00,Saving money,Income,Savings
Grocery Trip,-284.14,2023-11-04 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-17.14,2023-11-04 00:00:00,McBootstrap,Groceries,Checking
Eating Out,-15.41,2023-11-11 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-11-15 00:00:00,Direct deposit from work,Income,Checking
Garbage Collection,0.00,2023-11-15 00:00:00,Bootstrap Waste (billed quarterly),Utilities,Checking
Roth IRA Contribution,-450.00,2023-11-15 00:00:00,Retirement Fund,Investments,Checking
Grocery Trip,-105.87,2023-11-18 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-10.66,2023-11-18 00:00:00,McBootstrap,Groceries,Checking
Water Bill,-38.40,2023-11-20 00:00:00,Bootstrap Waterworks,Utilities,Checking
TV Streaming Service,-19.95,2023-11-20 00:00:00,BootFlix,Entertainment,Checking
Game Purchase,-40.00,2023-11-20 00:00:00,Balve,Entertainment,Checking
Rent,-800.00,2023-11-25 00:00:00,Bootstrap Estates,Housing,Checking
Gas Bill,-70.32,2023-11-25 00:00:00,Bootstrap Gas,Utilities,Checking
Home Internet,-70.00,2023-11-25 00:00:00,Bootstrap Fiber Net,Utilities,Checking
Eating Out,-11.74,2023-11-25 00:00:00,McBootstrap,Groceries,Checking
Gas Fillup,-43.85,2023-11-25 00:00:00,BootTrip,Transportation,Checking
Electrical Bill,-95.87,2023-11-27 00:00:00,Bootstrap Electrical,Utilities,Checking
Cell Phone Bill,-80.00,2023-11-28 00:00:00,Bootstrap Wireless,Utilities,Checking
Paycheck,2000.00,2023-11-30 00:00:00,Direct deposit from work,Income,Checking
Accounts Transfer,-1000.00,2023-12-01 00:00:00,Saving money,Income,Checking
Accounts Transfer,1000.00,2023-12-01 00:00:00,Saving money,Income,Savings
Eating Out,-14.55,2023-12-02 00:00:00,McBootstrap,Groceries,Checking
Grocery Trip,-84.94,2023-12-09 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-19.21,2023-12-09 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-12-15 00:00:00,Direct deposit from work,Income,Checking
Garbage Collection,0.00,2023-12-15 00:00:00,Bootstrap Waste (billed quarterly),Utilities,Checking
Roth IRA Contribution,-450.00,2023-12-15 00:00:00,Retirement Fund,Investments,Checking
Eating Out,-13.49,2023-12-16 00:00:00,McBootstrap,Groceries,Checking
Water Bill,-32.50,2023-12-20 00:00:00,Bootstrap Waterworks,Utilities,Checking
TV Streaming Service,-19.95,2023-12-20 00:00:00,BootFlix,Entertainment,Checking
Movie Night,-25.50,2023-12-20 00:00:00,BMC Theatres,Entertainment,Checking
Grocery Trip,-87.44,2023-12-23 00:00:00,Bootstrap Food and Stuff,Groceries,Checking
Eating Out,-15.45,2023-12-23 00:00:00,McBootstrap,Groceries,Checking
Rent,-800.00,2023-12-25 00:00:00,Bootstrap Estates,Housing,Checking
Gas Bill,-85.47,2023-12-25 00:00:00,Bootstrap Gas,Utilities,Checking
Home Internet,-70.00,2023-12-25 00:00:00,Bootstrap Fiber Net,Utilities,Checking
Gas Fillup,-43.00,2023-12-25 00:00:00,BootTrip,Transportation,Checking
Electrical Bill,-97.62,2023-12-27 00:00:00,Bootstrap Electrical,Utilities,Checking
Cell Phone Bill,-80.00,2023-12-28 00:00:00,Bootstrap Wireless,Utilities,Checking
Eating Out,-17.22,2023-12-30 00:00:00,McBootstrap,Groceries,Checking
Paycheck,2000.00,2023-12-31 00:00:00,Direct deposit from work,Income,Checking